"说明：
品位高于1%的铜矿被视为富矿（国际通用标准）,品位在0.5%至1.0%之间的铜矿称为一般铜矿,品位低于0.5%的铜矿则称为低品位铜矿。
赞比亚是目前非洲国家中投资及贸易环境较好的国家之一。赞比亚政局势持续稳定，法律体系健全，制定了以英国法律为蓝本的宪法、刑法、劳动法、投资法、税法、公司法、土地法、贸易法以及银行与金融法等。
而刚果（金）国内局势动荡不安，冶炼加工费跌至历史低点，出口退税进度缓慢，硫酸价格或有下行风险。各类不确定性因素显著增加，预期将给公司的生产经营带来诸多挑战。
赞比亚税收减免政策： 本公司位於贊比亞的非全資附屬公司謙比希銅冶煉有限公司（「謙比希銅冶煉」）於首五個獲利年度享有稅項豁免，並於其後三個年度享有所得稅減半，餘下兩年所得稅減免25%。此所得稅減免的有效期限已於2024年12月31日屆滿（截至2024年6月30日止六個月：所得稅減免25%）。
盧阿拉巴銅冶煉股份有限公司（「盧阿拉巴銅冶煉」）是本公司位於剛果（金）的非全資附屬公司，自2021年7月起五年內有資格享有68.29%的所得稅減免。所得稅減免比例是基於硫酸目前的產量比重計算所得，並據硫酸和粗銅的餘下投資而調整。",,,,,,,,,,,,,,,,,,,
矿山分布地理位置,,"中国有色矿业的铜矿资产可以类比洛阳钼业的刚果（金）的TFM和KFM，同处于中非著名的中非著名的铜钴成矿带，该矿带受卢费里安弧形构造控制，在赞比亚境内呈北-北西走向，进入刚果（金）后走向转为北西向，整体延伸700km。世界级大型铜钴矿（如洛钼的Tenke）、铜矿、金矿都集中这个区域内；
中国有色矿业的主力矿山谦比希、巴鲁巴、罗恩盆地、卢安夏都集中在赞比亚，不受战火影响。",,,,,,,,,,,,,,,,,
截至2025中报,主体,主要矿山,资源量（万吨）,平均品味（%）,铜金属量（万吨）,附注,,,,,,,,,,,,,
,中色非洲,谦比希主矿,2369,2.30%,54.9,中报生产阳极铜3.8473万吨，同比增长21%。原因是上半年无去年同期减产情况发生,,,,,,,,,,,,,
,（赞比亚）,谦比希西矿氧化矿,655,2.00%,13.4,,,,,,,,,,,,,,
,,谦比希西矿硫化矿,3089,2.00%,61.4,,,,,,,,,,,,,,
,,谦比希东南矿,12420,1.90%,241.4,中色非洲矿业东南矿体自2025年6月27日起暂时停产，初步预计停产时间约为90天。在专家组完成现场检查评估后，中色非洲矿业将根据当地法规要求制定整改措施，确定最终停产时限。根据公司初步测算，预计东南矿体停产将影响2025年度自有矿山铜产量约1.45万吨，约占集团全年自有矿山铜计划产量的9%。,,,,,,,,,,,,,
