ths_stock_code_stock,ths_stock_short_name_stock,INDUSTRY_SW_2021
766,通化金马,医药生物
810,创维数字,家用电器
875,吉电股份,公用事业
932,华菱钢铁,钢铁
1337,四川黄金,有色金属
2064,华峰化学,基础化工
2183,怡亚通,商贸零售
2237,恒邦股份,有色金属
2239,奥特佳,汽车
2240,盛新锂能,有色金属
2276,万马股份,电力设备
2487,大金重工,电力设备
300068,南都电源,电力设备
300285,国瓷材料,电子
300413,芒果超媒,传媒
300438,鹏辉能源,电力设备
300759,康龙化成,医药生物
300761,立华股份,农林牧渔
300832,新产业,医药生物
300969,恒帅股份,汽车
301000,肇民科技,汽车
301029,怡合达,机械设备
301155,海力风电,电力设备
301177,迪阿股份,纺织服饰
301550,斯菱股份,汽车
600063,皖维高新,基础化工
600176,中国巨石,建筑材料
600233,圆通速递,交通运输
600276,恒瑞医药,医药生物
600292,远达环保,环保
600338,西藏珠峰,有色金属
600478,科力远,电力设备
600486,扬农化工,基础化工
600516,方大炭素,钢铁
600521,华海药业,医药生物
600711,盛屯矿业,有色金属
600776,东方通信,通信
600801,华新水泥,建筑材料
601168,西部矿业,有色金属
601212,白银有色,有色金属
601512,中新集团,房地产
601579,会稽山,食品饮料
601598,中国外运,交通运输
603100,川仪股份,机械设备
603185,弘元绿能,电力设备
603305,旭升集团,汽车
603319,美湖股份,汽车
603663,三祥新材,基础化工
603667,五洲新春,机械设备
603699,纽威股份,机械设备
603728,鸣志电器,电力设备
603881,数据港,通信
605090,九丰能源,公用事业
605099,共创草坪,轻工制造
688017,绿的谐波,机械设备
688019,安集科技,电子
688097,博众精工,机械设备
688128,中国电研,机械设备
688161,威高骨科,医药生物
688506,百利天恒,医药生物
