ths_stock_code_stock,ths_stock_short_name_stock,INDUSTRY_SW_2021
9.0,中国宝安,电力设备
977.0,浪潮信息,计算机
1337.0,四川黄金,有色金属
2011.0,盾安环境,家用电器
2240.0,盛新锂能,有色金属
2244.0,滨江集团,房地产
2920.0,德赛西威,计算机
2928.0,华夏航空,交通运输
300054.0,鼎龙股份,电子
300185.0,通裕重工,电力设备
300223.0,北京君正,电子
300413.0,芒果超媒,传媒
300438.0,鹏辉能源,电力设备
300567.0,精测电子,机械设备
300726.0,宏达电子,国防军工
300919.0,中伟股份,电力设备
300926.0,博俊科技,汽车
300953.0,震裕科技,电力设备
600157.0,永泰能源,煤炭
600375.0,汉马科技,汽车
600498.0,烽火通信,通信
600562.0,国睿科技,国防军工
600988.0,赤峰黄金,有色金属
603297.0,永新光学,电子
603698.0,航天工程,机械设备
605090.0,九丰能源,公用事业
605333.0,沪光股份,汽车
688052.0,纳芯微,电子
688332.0,中科蓝讯,电子
688372.0,伟测科技,电子
688536.0,思瑞浦,电子
688548.0,广钢气体,电子
688549.0,中巨芯,
