ths_stock_code_stock,ths_stock_short_name_stock,INDUSTRY_SW_2021
9.0,中国宝安,电力设备
60.0,中金岭南,有色金属
408.0,藏格矿业,有色金属
600.0,建投能源,公用事业
612.0,焦作万方,有色金属
623.0,吉林敖东,医药生物
680.0,山推股份,机械设备
681.0,视觉中国,传媒
682.0,东方电子,电力设备
758.0,中色股份,有色金属
762.0,西藏矿业,有色金属
776.0,广发证券,非银金融
792.0,盐湖股份,基础化工
917.0,电广传媒,传媒
933.0,神火股份,有色金属
935.0,四川双马,非银金融
975.0,山金国际,有色金属
977.0,浪潮信息,计算机
987.0,越秀资本,非银金融
1203.0,大中矿业,钢铁
1287.0,中电港,电子
1301.0,尚太科技,电力设备
1337.0,四川黄金,有色金属
2011.0,盾安环境,家用电器
2049.0,紫光国微,电子
2130.0,沃尔核材,电子
2185.0,华天科技,电子
2204.0,大连重工,机械设备
2222.0,福晶科技,电子
2226.0,江南化工,基础化工
2236.0,大华股份,计算机
2240.0,盛新锂能,有色金属
2241.0,歌尔股份,电子
2244.0,滨江集团,房地产
2245.0,蔚蓝锂芯,电力设备
2294.0,信立泰,医药生物
2366.0,融发核电,电力设备
2414.0,高德红外,国防军工
2430.0,杭氧股份,基础化工
2434.0,万里扬,汽车
2466.0,天齐锂业,有色金属
2472.0,双环传动,汽车
2497.0,雅化集团,基础化工
2541.0,鸿路钢构,建筑装饰
2626.0,金达威,食品饮料
2645.0,华宏科技,环保
2683.0,广东宏大,基础化工
2838.0,道恩股份,基础化工
2895.0,川恒股份,基础化工
2920.0,德赛西威,计算机
2925.0,盈趣科技,电子
2928.0,华夏航空,交通运输
2947.0,恒铭达,电子
300054.0,鼎龙股份,电子
300136.0,信维通信,电子
300185.0,通裕重工,电力设备
300223.0,北京君正,电子
300224.0,正海磁材,有色金属
300390.0,天华新能,电力设备
300398.0,飞凯材料,电子
300413.0,芒果超媒,传媒
300432.0,富临精工,电力设备
300438.0,鹏辉能源,电力设备
300487.0,蓝晓科技,基础化工
300567.0,精测电子,机械设备
300593.0,新雷能,电力设备
300680.0,隆盛科技,汽车
300693.0,盛弘股份,电力设备
300726.0,宏达电子,国防军工
300768.0,迪普科技,计算机
300769.0,德方纳米,电力设备
300820.0,英杰电气,电力设备
300850.0,新强联,电力设备
300893.0,松原安全,汽车
300919.0,中伟股份,电力设备
300926.0,博俊科技,汽车
300953.0,震裕科技,电力设备
300969.0,恒帅股份,汽车
300972.0,万辰集团,食品饮料
301269.0,华大九天,计算机
301291.0,明阳电气,电力设备
600031.0,三一重工,机械设备
600060.0,海信视像,家用电器
600095.0,湘财股份,非银金融
600096.0,云天化,基础化工
600157.0,永泰能源,煤炭
600206.0,有研新材,电子
600363.0,联创光电,电子
600375.0,汉马科技,汽车
600388.0,龙净环保,环保
600392.0,盛和资源,有色金属
600458.0,时代新材,机械设备
600459.0,贵研铂业,有色金属
600460.0,士兰微,电子
600487.0,亨通光电,通信
600497.0,驰宏锌锗,有色金属
600498.0,烽火通信,通信
600522.0,中天科技,通信
600562.0,国睿科技,国防军工
600584.0,长电科技,电子
600637.0,东方明珠,传媒
600667.0,太极实业,建筑装饰
600732.0,爱旭股份,电力设备
600760.0,中航沈飞,国防军工
600777.0,*ST新潮,石油石化
600808.0,马钢股份,钢铁
600875.0,东方电气,电力设备
600879.0,航天电子,国防军工
600893.0,航发动力,国防军工
600958.0,东方证券,非银金融
600988.0,赤峰黄金,有色金属
600995.0,南网储能,公用事业
601001.0,晋控煤业,煤炭
601012.0,隆基绿能,电力设备
601127.0,赛力斯,汽车
601231.0,环旭电子,电子
601598.0,中国外运,交通运输
601600.0,中国铝业,有色金属
601618.0,中国中冶,建筑装饰
601677.0,明泰铝业,有色金属
601688.0,华泰证券,非银金融
601699.0,潞安环能,煤炭
601727.0,上海电气,电力设备
603077.0,和邦生物,基础化工
603169.0,兰石重装,机械设备
603218.0,日月股份,电力设备
603296.0,华勤技术,电子
603297.0,永新光学,电子
603298.0,杭叉集团,机械设备
603305.0,旭升集团,汽车
603688.0,石英股份,基础化工
603698.0,航天工程,机械设备
605008.0,长鸿高科,基础化工
605020.0,永和股份,基础化工
605090.0,九丰能源,公用事业
605333.0,沪光股份,汽车
688002.0,睿创微纳,国防军工
688019.0,安集科技,电子
688049.0,炬芯科技,电子
688052.0,纳芯微,电子
688099.0,晶晨股份,电子
688102.0,斯瑞新材,有色金属
688116.0,天奈科技,电力设备
688138.0,清溢光电,电子
688146.0,中船特气,电子
688187.0,时代电气,机械设备
688213.0,思特威,电子
688326.0,经纬恒润,计算机
688332.0,中科蓝讯,电子
688349.0,三一重能,电力设备
688372.0,伟测科技,电子
688380.0,中微半导,电子
688387.0,信科移动,通信
688396.0,华润微,电子
688400.0,凌云光,机械设备
688469.0,芯联集成,电子
688472.0,阿特斯,电力设备
688484.0,南芯科技,电子
688503.0,聚和材料,电力设备
688531.0,日联科技,机械设备
688536.0,思瑞浦,电子
688548.0,广钢气体,电子
688549.0,中巨芯,电子
688552.0,航天南湖,国防军工
688596.0,正帆科技,机械设备
688728.0,格科微,电子
688789.0,宏华数科,机械设备
